Date,City,Latitude,Longitude,PM2.5,PM10,NO2,SO2,CO,Ozone,Aerosol_Optical_Depth,AQI_Class
2025-11-08 00:00:00,"Lahore, Pakistan",31.5497,74.3436,81.0,82.7,94.0,16.4,1910.0,11.0,0.19,Unhealthy
2025-11-08 01:00:00,"Lahore, Pakistan",31.5497,74.3436,78.2,79.6,90.9,14.4,1413.0,10.0,0.19,Unhealthy
2025-11-08 02:00:00,"Lahore, Pakistan",31.5497,74.3436,75.4,76.8,85.0,12.8,1060.0,12.0,0.19,Unhealthy
2025-11-08 03:00:00,"Lahore, Pakistan",31.5497,74.3436,72.2,73.6,72.8,11.8,863.0,20.0,0.19,Unhealthy
2025-11-08 04:00:00,"Lahore, Pakistan",31.5497,74.3436,69.8,71.2,57.7,11.1,811.0,31.0,0.19,Unhealthy
2025-11-08 05:00:00,"Lahore, Pakistan",31.5497,74.3436,66.8,68.2,45.0,11.1,1088.0,43.0,0.2,Unhealthy
2025-11-08 06:00:00,"Lahore, Pakistan",31.5497,74.3436,71.2,72.6,51.0,11.4,2069.0,36.0,0.2,Unhealthy
2025-11-08 07:00:00,"Lahore, Pakistan",31.5497,74.3436,80.3,82.0,58.7,11.9,3380.0,28.0,0.21,Unhealthy
2025-11-08 08:00:00,"Lahore, Pakistan",31.5497,74.3436,79.6,81.0,59.7,13.0,4085.0,34.0,0.21,Unhealthy
2025-11-08 09:00:00,"Lahore, Pakistan",31.5497,74.3436,71.9,73.1,47.8,15.5,3616.0,68.0,0.2,Unhealthy
2025-11-08 10:00:00,"Lahore, Pakistan",31.5497,74.3436,53.7,55.3,29.2,18.7,2540.0,116.0,0.2,Unhealthy for Sensitive
2025-11-08 11:00:00,"Lahore, Pakistan",31.5497,74.3436,29.3,31.0,14.8,20.4,1624.0,153.0,0.21,Moderate
2025-11-08 12:00:00,"Lahore, Pakistan",31.5497,74.3436,23.3,25.0,7.5,19.3,1071.0,169.0,0.21,Moderate
2025-11-08 13:00:00,"Lahore, Pakistan",31.5497,74.3436,21.9,23.7,4.4,16.6,678.0,172.0,0.21,Moderate
2025-11-08 14:00:00,"Lahore, Pakistan",31.5497,74.3436,21.5,23.3,6.9,14.6,599.0,167.0,0.22,Moderate
2025-11-08 15:00:00,"Lahore, Pakistan",31.5497,74.3436,21.5,23.2,17.2,13.8,995.0,150.0,0.21,Moderate
2025-11-08 16:00:00,"Lahore, Pakistan",31.5497,74.3436,22.3,23.7,33.1,13.6,1707.0,125.0,0.21,Moderate
2025-11-08 17:00:00,"Lahore, Pakistan",31.5497,74.3436,37.7,39.7,47.9,14.6,2408.0,97.0,0.24,Unhealthy for Sensitive
2025-11-08 18:00:00,"Lahore, Pakistan",31.5497,74.3436,50.1,52.0,61.6,15.4,3041.0,76.0,0.22,Unhealthy for Sensitive
2025-11-08 19:00:00,"Lahore, Pakistan",31.5497,74.3436,62.4,64.3,80.3,16.5,3665.0,47.0,0.21,Unhealthy
2025-11-08 20:00:00,"Lahore, Pakistan",31.5497,74.3436,72.2,74.0,93.1,17.2,4128.0,26.0,0.21,Unhealthy
2025-11-08 21:00:00,"Lahore, Pakistan",31.5497,74.3436,79.9,81.7,94.8,17.2,4431.0,18.0,0.2,Unhealthy
2025-11-08 22:00:00,"Lahore, Pakistan",31.5497,74.3436,85.2,86.8,90.6,16.7,4573.0,18.0,0.2,Unhealthy
2025-11-08 23:00:00,"Lahore, Pakistan",31.5497,74.3436,86.6,88.2,84.9,15.9,4404.0,20.0,0.19,Unhealthy
2025-11-09 00:00:00,"Lahore, Pakistan",31.5497,74.3436,84.8,86.4,78.6,14.6,3698.0,24.0,0.17,Unhealthy
2025-11-09 01:00:00,"Lahore, Pakistan",31.5497,74.3436,81.0,82.7,70.7,12.9,2680.0,29.0,0.16,Unhealthy
2025-11-09 02:00:00,"Lahore, Pakistan",31.5497,74.3436,78.7,80.1,63.3,11.6,1883.0,34.0,0.15,Unhealthy
2025-11-09 03:00:00,"Lahore, Pakistan",31.5497,74.3436,78.2,79.6,55.9,11.0,1481.0,36.0,0.15,Unhealthy
2025-11-09 04:00:00,"Lahore, Pakistan",31.5497,74.3436,78.9,80.3,48.9,10.7,1300.0,37.0,0.14,Unhealthy
2025-11-09 05:00:00,"Lahore, Pakistan",31.5497,74.3436,85.0,86.1,61.4,11.8,1342.0,25.0,0.17,Unhealthy
2025-11-09 06:00:00,"Lahore, Pakistan",31.5497,74.3436,87.3,88.5,63.9,12.2,1805.0,22.0,0.16,Unhealthy
2025-11-09 07:00:00,"Lahore, Pakistan",31.5497,74.3436,96.6,98.0,66.7,12.9,2491.0,21.0,0.15,Unhealthy
2025-11-09 08:00:00,"Lahore, Pakistan",31.5497,74.3436,95.5,96.4,63.8,13.7,2815.0,31.0,0.15,Unhealthy
2025-11-09 09:00:00,"Lahore, Pakistan",31.5497,74.3436,82.2,83.1,49.8,14.9,2410.0,65.0,0.14,Unhealthy
2025-11-09 10:00:00,"Lahore, Pakistan",31.5497,74.3436,56.1,57.0,30.0,16.3,1642.0,112.0,0.15,Unhealthy
2025-11-09 11:00:00,"Lahore, Pakistan",31.5497,74.3436,28.6,29.2,14.8,16.9,1022.0,147.0,0.15,Moderate
2025-11-09 12:00:00,"Lahore, Pakistan",31.5497,74.3436,20.0,20.3,7.1,16.0,677.0,163.0,0.16,Moderate
2025-11-09 13:00:00,"Lahore, Pakistan",31.5497,74.3436,17.6,18.0,4.0,14.3,481.0,168.0,0.17,Moderate
2025-11-09 14:00:00,"Lahore, Pakistan",31.5497,74.3436,16.8,17.3,6.8,13.0,563.0,164.0,0.17,Moderate
2025-11-09 15:00:00,"Lahore, Pakistan",31.5497,74.3436,16.8,17.2,18.0,12.5,1112.0,147.0,0.17,Moderate
2025-11-09 16:00:00,"Lahore, Pakistan",31.5497,74.3436,17.6,18.0,35.2,12.5,1939.0,121.0,0.17,Moderate
2025-11-09 17:00:00,"Lahore, Pakistan",31.5497,74.3436,36.1,36.7,55.6,12.6,2612.0,88.0,0.26,Unhealthy for Sensitive
2025-11-09 18:00:00,"Lahore, Pakistan",31.5497,74.3436,47.8,48.4,67.0,13.3,2946.0,70.0,0.25,Unhealthy for Sensitive
2025-11-09 19:00:00,"Lahore, Pakistan",31.5497,74.3436,58.7,59.3,82.7,14.3,3126.0,46.0,0.25,Unhealthy
2025-11-09 20:00:00,"Lahore, Pakistan",31.5497,74.3436,67.3,68.0,94.0,15.1,3274.0,27.0,0.25,Unhealthy
2025-11-09 21:00:00,"Lahore, Pakistan",31.5497,74.3436,75.0,75.7,97.2,15.5,3466.0,19.0,0.25,Unhealthy
2025-11-09 22:00:00,"Lahore, Pakistan",31.5497,74.3436,82.2,82.9,96.1,15.7,3627.0,16.0,0.26,Unhealthy
2025-11-09 23:00:00,"Lahore, Pakistan",31.5497,74.3436,87.3,88.0,92.6,15.6,3655.0,15.0,0.25,Unhealthy
2025-11-10 00:00:00,"Lahore, Pakistan",31.5497,74.3436,89.6,90.6,86.8,15.0,3475.0,16.0,0.25,Unhealthy
2025-11-10 01:00:00,"Lahore, Pakistan",31.5497,74.3436,90.8,91.7,78.6,14.0,3163.0,19.0,0.25,Unhealthy
2025-11-10 02:00:00,"Lahore, Pakistan",31.5497,74.3436,90.8,92.0,70.7,13.2,2842.0,22.0,0.25,Unhealthy
2025-11-10 03:00:00,"Lahore, Pakistan",31.5497,74.3436,91.0,92.2,62.7,12.6,2330.0,24.0,0.25,Unhealthy
2025-11-10 04:00:00,"Lahore, Pakistan",31.5497,74.3436,90.3,91.5,54.8,12.2,1809.0,26.0,0.26,Unhealthy
2025-11-10 05:00:00,"Lahore, Pakistan",31.5497,74.3436,95.9,96.9,57.9,12.2,1953.0,17.0,0.29,Unhealthy
2025-11-10 06:00:00,"Lahore, Pakistan",31.5497,74.3436,99.0,100.1,62.6,13.0,3596.0,12.0,0.29,Unhealthy
2025-11-10 07:00:00,"Lahore, Pakistan",31.5497,74.3436,108.7,109.9,68.4,14.1,5904.0,8.0,0.28,Unhealthy
2025-11-10 08:00:00,"Lahore, Pakistan",31.5497,74.3436,114.1,115.3,67.3,15.7,7044.0,18.0,0.27,Unhealthy
2025-11-10 09:00:00,"Lahore, Pakistan",31.5497,74.3436,96.9,97.8,52.9,18.1,5851.0,57.0,0.26,Unhealthy
2025-11-10 10:00:00,"Lahore, Pakistan",31.5497,74.3436,72.6,73.8,31.7,21.0,3491.0,110.0,0.27,Unhealthy
2025-11-10 11:00:00,"Lahore, Pakistan",31.5497,74.3436,45.8,47.0,15.4,22.7,1629.0,152.0,0.28,Unhealthy for Sensitive
2025-11-10 12:00:00,"Lahore, Pakistan",31.5497,74.3436,37.5,38.6,7.1,22.4,869.0,173.0,0.29,Unhealthy for Sensitive
2025-11-10 13:00:00,"Lahore, Pakistan",31.5497,74.3436,34.1,35.3,3.7,20.9,608.0,181.0,0.31,Moderate
2025-11-10 14:00:00,"Lahore, Pakistan",31.5497,74.3436,33.3,34.6,7.4,19.7,702.0,178.0,0.31,Moderate
2025-11-10 15:00:00,"Lahore, Pakistan",31.5497,74.3436,32.8,34.1,22.1,19.0,1135.0,158.0,0.31,Moderate
2025-11-10 16:00:00,"Lahore, Pakistan",31.5497,74.3436,33.9,34.9,44.0,18.6,1923.0,125.0,0.31,Moderate
2025-11-10 17:00:00,"Lahore, Pakistan",31.5497,74.3436,76.1,78.5,80.8,20.3,2976.0,77.0,0.5,Unhealthy
2025-11-10 18:00:00,"Lahore, Pakistan",31.5497,74.3436,92.4,95.0,88.7,21.0,4565.0,61.0,0.49,Unhealthy
2025-11-10 19:00:00,"Lahore, Pakistan",31.5497,74.3436,107.3,109.9,99.5,22.1,6419.0,38.0,0.5,Unhealthy
2025-11-10 20:00:00,"Lahore, Pakistan",31.5497,74.3436,120.6,123.4,107.1,22.9,7634.0,20.0,0.5,Unhealthy
2025-11-10 21:00:00,"Lahore, Pakistan",31.5497,74.3436,132.2,135.0,108.7,23.5,7730.0,12.0,0.51,Unhealthy
2025-11-10 22:00:00,"Lahore, Pakistan",31.5497,74.3436,141.6,144.8,107.1,24.0,7188.0,10.0,0.52,Unhealthy
2025-11-10 23:00:00,"Lahore, Pakistan",31.5497,74.3436,147.6,150.9,104.6,23.9,6547.0,8.0,0.53,Unhealthy
2025-11-11 00:00:00,"Lahore, Pakistan",31.5497,74.3436,149.0,152.3,102.1,23.1,5950.0,7.0,0.53,Unhealthy
2025-11-11 01:00:00,"Lahore, Pakistan",31.5497,74.3436,146.7,150.4,98.7,21.8,5255.0,7.0,0.53,Unhealthy
2025-11-11 02:00:00,"Lahore, Pakistan",31.5497,74.3436,142.5,146.2,93.8,20.3,4572.0,7.0,0.53,Unhealthy
2025-11-11 03:00:00,"Lahore, Pakistan",31.5497,74.3436,136.9,140.2,86.2,18.5,3770.0,7.0,0.53,Unhealthy
2025-11-11 04:00:00,"Lahore, Pakistan",31.5497,74.3436,129.5,131.8,77.2,16.6,2981.0,7.0,0.52,Unhealthy
2025-11-11 05:00:00,"Lahore, Pakistan",31.5497,74.3436,139.7,143.0,92.0,18.5,2711.0,0.0,0.52,Unhealthy
2025-11-11 06:00:00,"Lahore, Pakistan",31.5497,74.3436,133.6,136.4,87.0,17.7,3541.0,0.0,0.51,Unhealthy
2025-11-11 07:00:00,"Lahore, Pakistan",31.5497,74.3436,134.1,136.9,79.5,16.9,4890.0,2.0,0.51,Unhealthy
2025-11-11 08:00:00,"Lahore, Pakistan",31.5497,74.3436,131.8,133.6,69.3,17.6,5520.0,19.0,0.5,Unhealthy
2025-11-11 09:00:00,"Lahore, Pakistan",31.5497,74.3436,116.2,117.6,54.2,21.8,4683.0,64.0,0.5,Unhealthy
2025-11-11 10:00:00,"Lahore, Pakistan",31.5497,74.3436,99.0,101.5,36.3,27.5,3127.0,124.0,0.5,Unhealthy
2025-11-11 11:00:00,"Lahore, Pakistan",31.5497,74.3436,81.7,85.0,22.1,31.0,1858.0,170.0,0.51,Unhealthy
2025-11-11 12:00:00,"Lahore, Pakistan",31.5497,74.3436,66.4,70.1,12.5,30.1,1194.0,190.0,0.5,Unhealthy
2025-11-11 13:00:00,"Lahore, Pakistan",31.5497,74.3436,61.5,65.2,6.6,26.9,816.0,196.0,0.5,Unhealthy
2025-11-11 14:00:00,"Lahore, Pakistan",31.5497,74.3436,57.9,61.7,7.8,24.1,780.0,190.0,0.49,Unhealthy
2025-11-11 15:00:00,"Lahore, Pakistan",31.5497,74.3436,56.0,59.6,20.4,22.5,1256.0,168.0,0.48,Unhealthy
2025-11-11 16:00:00,"Lahore, Pakistan",31.5497,74.3436,56.1,59.4,40.2,21.2,2073.0,133.0,0.46,Unhealthy
2025-11-11 17:00:00,"Lahore, Pakistan",31.5497,74.3436,93.8,98.7,74.9,22.8,2770.0,84.0,0.59,Unhealthy
2025-11-11 18:00:00,"Lahore, Pakistan",31.5497,74.3436,109.7,114.3,80.9,22.9,3185.0,70.0,0.56,Unhealthy
2025-11-11 19:00:00,"Lahore, Pakistan",31.5497,74.3436,119.7,124.3,89.0,23.0,3480.0,50.0,0.54,Unhealthy
2025-11-11 20:00:00,"Lahore, Pakistan",31.5497,74.3436,125.3,129.5,93.9,22.8,3677.0,35.0,0.52,Unhealthy
2025-11-11 21:00:00,"Lahore, Pakistan",31.5497,74.3436,128.5,133.2,93.2,22.2,3786.0,29.0,0.49,Unhealthy
2025-11-11 22:00:00,"Lahore, Pakistan",31.5497,74.3436,131.8,136.0,89.3,21.3,3797.0,28.0,0.46,Unhealthy
